SW1;volts measure;current measure
0;15;108
1;15;108
2;15;108
3;15;108
4;16;108
5;16;108
6;16;108
7;16;108
8;16;108
9;16;108
10;16;108
11;16;108
12;16;108
13;16;108
14;16;108
15;16;108
16;16;108
17;16;108
18;16;108
19;16;108
20;16;108
21;16;108
22;16;108
23;16;108
24;16;108
25;16;108
26;16;108
27;16;108
28;17;108
29;17;108
30;17;108
31;17;108
32;17;108
33;17;108
34;17;108
35;17;108
36;17;108
37;17;108
38;17;108
39;17;108
40;17;108
41;17;108
42;17;108
43;17;108
44;17;108
45;17;108
46;18;108
47;18;108
48;18;108
49;18;108
50;18;108
51;18;108
52;18;108
53;18;108
54;18;108
55;18;108
56;18;108
57;18;108
58;18;108
59;18;108
60;19;108
61;19;108
62;19;108
63;19;108
64;19;108
65;19;108
66;19;108
67;19;108
68;19;108
69;19;108
70;19;108
71;19;108
72;20;108
73;20;108
74;20;108
75;20;108
76;20;108
77;20;108
78;20;108
79;20;108
80;20;108
81;21;108
82;21;108
83;21;108
84;21;108
85;21;108
86;21;108
87;21;108
88;21;108
89;22;108
90;22;108
91;22;108
92;22;108
93;22;108
94;22;108
95;22;108
96;23;108
97;23;108
98;23;108
99;23;108
100;23;108
101;24;108
102;24;108
103;24;108
104;24;108
105;24;108
106;25;108
107;25;108
108;25;108
109;25;108
110;25;108
111;26;108
112;26;108
113;26;108
114;26;108
115;27;108
116;27;108
117;27;108
118;28;108
119;28;108
120;28;108
121;29;108
122;29;108
123;29;108
124;30;108
125;30;108
126;30;108
127;31;108
128;31;108
129;32;108
130;32;108
131;33;108
132;33;108
133;34;108
134;34;108
135;35;108
136;35;108
137;36;108
138;36;108
139;37;108
140;38;108
141;38;108
142;39;108
143;40;108
144;41;108
145;42;108
146;43;108
147;44;108
148;45;108
149;46;108
150;47;108
151;48;108
152;49;108
153;50;108
154;52;108
155;53;108
156;55;108
157;56;108
158;58;108
159;60;108
160;62;108
161;64;108
162;66;108
163;68;108
164;71;108
165;73;108
166;76;108
167;79;108
168;82;108
169;85;108
170;88;108
171;91;108
172;95;108
173;99;108
174;103;108
175;107;108
176;111;108
177;115;108
178;119;108
179;123;108
180;127;108
181;131;108
182;135;108
183;139;108
184;143;108
185;147;108
186;151;108
187;155;108
188;159;108
189;163;107
190;167;107
191;171;107
192;175;107
193;179;107
194;183;107
195;187;107
196;191;107
197;195;107
198;199;107
199;203;107
200;207;107
201;211;107
202;215;107
203;219;107
204;223;107
205;227;107
206;231;107
207;235;107
208;239;106
209;242;106
210;246;105
211;249;104
212;253;102
213;256;100
214;258;97
215;260;93
216;263;90
217;264;85
218;266;81
219;268;76
220;269;72
221;270;67
222;272;62
223;273;57
224;274;53
225;275;48
226;275;43
227;276;39
228;277;35
229;277;31
230;278;27
231;279;23
232;279;19
233;280;16
234;280;13
235;280;10
236;281;8
237;281;6
238;281;4
239;282;3
240;282;1
241;282;1
242;282;0
243;282;0
244;282;0
245;282;0
246;282;0
247;282;0
248;282;0
249;282;0
250;282;0
251;282;0
252;282;0
253;282;0
254;282;0
255;282;0
